肺,lung
自殺,suicide
貧困,poverty
原子,atom
優先権,priority
沈む,sink
蓄え,stock
あいまいな,vague
獲得する,attain
盲目の,blind
衝動,impulse
構成する,constitute
まねる,imitate
相互の,mutual
訴える,resort
洞察,insight
的,target
図表,chart
言葉の,verbal
蓄積する,accumulate
取り除く,eliminate
圧倒する,overwhelm
禁止する,forbid
壮大な,grand
幻想,illusion
精巧な,elaborate
見込み,prospect
押し付ける,impose
伝説,legend
巣,nest
歩行者,pedestrian
逆,reverse
付ける,attach
規定,regulation
曲がる,bend
熱帯の,tropical
同意,consensus
商人,merchant
障害,obstacle
平行の,parallel
関連した,relevant
ものすごい,tremendous
口笛で吹く,whistle
外国人の,alien
俗語,slang
かむ,bite
乗組員,crew
離婚,divorce
罰する,punish
耐える,endure
にせの,fake
芝生,lawn
壇,platform
階級,rank
領域,realm
封をする,seal
事務員,clerk
ただ一つの,sole
悲劇,tragedy
承認する,approve
夜明け,dawn
遠く離れた,remote
民族的な,ethnic
水平線,horizon
戦略,strategy
仮説,hypothesis
溶ける,melt
欲求不満にさせる,frustrate
多数の,numerous
やめる,quit
抵抗する,resist
専攻する,specialize
寺,temple
偏見,bias
包む,wrap
減らす,diminish
環境の,ecological
見つめる,gaze
議会,council
適度の,moderate
有史以前の,prehistoric
感覚,sensation
わな,trap
崇拝する,worship
発生する,originate
生物学,biology
候補者,candidate
気分,mood
避難所,shelter
通貨,currency
多様な,diverse
うらやむ,envy
獲物,prey
倫理的な,ethical
繁栄する,flourish
生来の,innate
発射する,launch
改革,reform
一方,meanwhile
爆弾,bomb
