署名,signature
投資する,invest
青年,adolescent
地方,province
例証,illustration
姿勢,pose
生態系,ecosystem
引用する,cite
勝利,triumph
いやす,heal
ゆがめる,distort
かむ,chew
筆使い,stroke
ちらっと見ること,glimpse
だます,deceive
貫通する,penetrate
結びつき,bond
起因する、生じる,stem
同盟,league
巨大な,gigantic
合図,cue
物語,narrative
恥じて,ashamed
彫像,statue
明白な,explicit
こする,rub
閉じこめる,confine
薬物,medication
勝手な,arbitrary
熟考,speculation
無限の,infinite
戦後の,postwar
妥協する,compromise
不快にさせる,disgust
暴露する,uncover
ごみ,litter
角度,angle
全くの,sheer
敵対者,opponent
自発的な,spontaneous
統合する,integrate
群れ,cluster
活発な,vigorous
気分を害する,offend
肉,flesh
危険,hazard
漫画,cartoon
誘惑,temptation
義務,obligation
放出,emission
割れる,split
混ざる,blend
錠剤,tablet
麻痺させる,paralyze
形成する,mold
無数の,countless
引用する,quote
貴族政治,aristocracy
鎮圧する,suppress
いらいらさせる,irritate
はぎ取る,strip
核,core
処方せん,prescription
考古学者,archaeologist
迷信,superstition
逆説,paradox
鋼鉄,steel
一致する,coincide
負傷させる,wound
小作農,peasant
豊富,abundance
要約する,summarize
止まる,halt
嫉妬深い,jealous
開発する,exploit
自発的な,voluntary
有能な,competent
現実的な,realistic
感謝して,grateful
威厳,dignity
引き受ける,undertake
外交の,diplomatic
比較できる,comparable
たんぱく質,protein
断片,fragment
捧げる,dedicate
潮,tide
直感的な,intuitive
衝突,clash
部分,portion
しつけ,upbringing
帝国の,imperial
育てる,foster
残酷な,cruel
電報,telegram
介入,intervention
裏切る,betray
悲観的な,pessimistic
想像する,fancy
仕事場,workshop
