合理的な,rational
奴隷,slave
契約,contract
支配する,dominate
谷,valley
信用,credit
目撃する,witness
障害,barrier
恐竜,dinosaur
天才,genius
幼児,infant
完全に,altogether
福祉,welfare
研究室,laboratory
観点,perspective
方法,mode
時代,era
絶滅,extinction
洪水,flood
補助,aid
本物の,genuine
移動式の,mobile
～に帰する,attribute
確かめる,confirm
奪う,deprive
移す,transfer
高さ,height
日課,routine
対話,dialogue
～の代わりにする,substitute
特徴,trait
人類学者,anthropologist
明言する,declare
そのうえ,furthermore
それゆえ,hence
激しい,intense
繁栄,prosperity
任意の,random
相続する,inherit
居住者,resident
賢い,smart
調子,tone
普及した,widespread
運動選手,athlete
産出する,yield
聖書,Bible
重大な,crucial
年配の,elderly
飢饉,famine
保証する,guarantee
移住,immigration
正当化する,justify
奇妙な,odd
委員会,committee
比率,ratio
連続,sequence
重力,gravity
最終的な,ultimate
版,version
驚かせる,astonish
空想,fantasy
設立する,found
刺激する,stimulate
文法,grammar
名誉,honor
景色,landscape
たたく,pat
二次的な,secondary
裸の,bare
洗練された,sophisticated
選挙,election
固定観念,stereotype
語彙,vocabulary
広い,broad
慎重な,deliberate
過激な,radical
生息地,habitat
相互に作用する,interact
乗る,mount
出力,output
主題,theme
分類する,classify
気が進まない,reluctant
さらす,expose
設備,facility
中世の,medieval
行き渡っている,prevail
放射,radiation
航海,voyage
復習する,review
微妙な,subtle
音量,volume
世論調査,poll
芸術的な,artistic
禁止する,ban
植民地,colony
緊張,strain
解雇する,dismiss
幹部,executive
放送,broadcast
