動機,incentive
ズボン,trousers
弾丸,bullet
激怒,rage
出口,exit
引き続く,successive
愚かな,absurd
くじ,lottery
火山,volcano
排出する,discharge
操縦する,steer
照らす,illuminate
組織,tissue
賭ける,bet
引き起こす,provoke
漂う,drift
服従する,submit
廃止する,abolish
～しがちな,liable
曲,tune
突然の,abrupt
消耗させる,drain
突っ込む,plunge
流暢な,fluent
部分,segment
飾る,decorate
国籍,nationality
関係、関連,bearing
思いやりのある,humane
のど,throat
無視する,disregard
陰謀,plot
礼儀作法,courtesy
誤解させる、欺く,mislead
～経由で,via
這う,creep
ミサイル,missile
兵士,warrior
宇宙飛行士,astronaut
敵意,hostility
いじめる,tease
処分する,dispose
柱,pillar
相談する,consult
拡大する,magnify
～の下に,underneath
風味,flavor
大声,roar
算数,arithmetic
階級制度,hierarchy
素早い,swift
直立した,erect
延長する,prolong
口述する,dictate
概要,outline
彗星,comet
稲妻,lightning
軍隊,troop
織物,fabric
退却,retreat
拍手喝采,applause
厳しい,harsh
政治家,statesman
診断する,diagnose
窒素,nitrogen
もろい,fragile
模擬演習する,simulate
木炭,charcoal
跳ぶ,leap
移行,transition
非常に,exceedingly
募集する,recruit
加速する,accelerate
にやりと笑う,grin
茎,stalk
封筒,envelope
姿勢,posture
泉,fountain
粉砕する,shatter
縛る,bind
無関心,indifference
印,token
喚起する,evoke
震える,quake
優雅,grace
輝かしい,splendid
健康,fitness
威信,prestige
水素,hydrogen
学期,semester
反証する,disprove
後援者,patron
伝記,biography
市長,mayor
垂直の,upright
繊維,fiber
玄関,porch
腐食,decay
前もって,beforehand
壮麗な,magnificent
