モーセ・イエスらに続く最後にして最大の預言者。イスラームを確立させた人物,ムハンマド,
ムハンマドと信者が迫害を受けてメディナに移住したこと,聖遷,ヒジュラ
イスラームの聖典,クルアーン,預言者ムハンマドに掲示された神の言葉をまとめたもの
血縁や部族社会を超えた共通の信仰による共同体,ウンマ,イスラーム共同体
イスラーム法,シャリーア,
ムハンマドの言行録,ハディース,クルアーンとハディースがシャリーアの基盤である
ウンマを維持するために必要な「努力」「奮闘」,ジハード,聖戦
ムスリムが持つべき6つの信仰と実践的義務,六信五行,
六信の一つである神,アッラー,
六信の一つであるアッラーからの全ての啓示・教典,啓典,新約聖書・旧約聖書も含むが、クルアーンが最後の教典である。
六信の一つであるモーセ、イエス、ムハンマド等の存在,預言者,モーセやイエスも預言者というかたちで認めている
六信の一つであるアッラーの命令のもとで働きを行う存在,天使,
六信の一つである復活の日、死後の生命,来世,
六信の一つであるアッラーの定め,天命,
五行の一つであるアッラーの他に神はいないと述べること,信仰告白,
五行の一つである、一日5回行うもの,礼拝,
五行の一つである、年収から一定額の寄付をすること,喜捨,
五行の一つである夜明けから日没まで一切の食物並びに水を口にしないこと,断食,イスラーム歴第9月のラマダン月に行う
イスラームの内預言者の示した規範・言行を重視する派閥,シーア派,イラン
イスラームの内預言者の血筋を重視する派閥,スンニ派,サウジアラビア
バラモン教の聖典,ヴェーダ,
身分秩序,カースト制度,
祭祀階級,バラモン,
貴族・戦士階級,クシャトリア,
農民・商工業者,ヴァイシャ,
奴隷,シュードラ,
不可触賤民(カースト圏外),パリア,
バラモン教の根幹をなす思弁的な哲学体系,ウパニシャッド哲学,真理に至るためにどうしたらいいかを考えた
生命あるものは、永遠に生と死を繰り返すという考え方,輪廻転生,
業,カルマ,生存中の行為が死後の運命を決定
輪廻転生を絶ち、苦しみから解放されて、永遠の安らぎを得ること,解脱,
宇宙の根本原理,ブラフマー,梵
真実の自己,アートマン,
自己と宇宙(自然)の合一の境地,梵我一如,梵我一如による解脱を目指す
バラモンやヴェーダの宗教的毛にを公然と否定する修行者達,自由思想家,六師外道ー自由思想家のうち、仏陀を除いた有力者6人
ジャイナ教の開祖,ヴァルダマーナ,徹底した不殺生と厳しい苦行
古代のバラモン教が様々な民間信仰を取り入れて発展したインドの民族宗教,ヒンドゥー教,創造神ブラフマー、維持神ヴィシュヌ、破壊神シヴァを「1体3神」の最高神として崇める
釈迦族の王子,ゴーダマ・シッダッタ,
真理に目覚めたもの,仏陀,
真理(サンスクリット語),ダルマ,法
四諦の内世界の根本は苦であるという真理,苦諦,
生老病死,四苦,
八苦のうち愛するものといつかは別れてしまうということ,愛別離苦,
八苦のうち憎むものと出会うということ,怨憎会苦,
八苦のうち求めるものが得られないということ,求不得苦,
八苦のうち私たちの心も肉体も様々な執着のために苦しんでいるということ,五蘊盛苦,五蘊ー物質(色薀)・感受(受薀)・知覚(相薀)・意思(行薀)・判断(識薀)
四諦の内苦は煩悩に基づいて起こるという真理,集諦,
全ての物事には原因があるという道理,縁起の道理,
真理に対する無知,無明,
自分や自分の所有物に執着する心,我失,
我失から生まれる欲望や怒りなどのこと,煩悩,
三毒のうち好ましい対照への愛着,欲望,貪
三毒のうち好ましくない対象への嫌悪,怒り,瞋
三毒のうちあるがままに対して知らないこと,無知,痴
四諦の内、煩悩を滅することにより、苦をなくすことができるという真理,減諦,
苦をなくすための修行法,八正道,
全て煩悩が消滅した後に得られる境地,中道,
四諦の内、苦をなくすための正しい修行法は八正道であるという真理,道諦,
八正道の一つ、正しい見解,正見,
八正道の一つ、正しい思索,正思,
八正道の一つ、正しい行為,正業,
八正道の一つ、正しい生活,正命,
八正道の一つ、正しい努力,正精進,
八正道の一つ、正しい気づき,正念,
八正道の一つ、正しい精神統一,正定,
仏教を特徴付ける四つの教え,四法印,
四法印の一つ、人生は思い通りにならない,一切皆苦,
四法印の一つ、全ては移り変わるもの,諸行無常,
四法印の一つ、全てはつながりの中で変化している,諸法無我,
四法印の一つ、煩悩が消えた悟りの世界は、静かな安らぎの境地,涅槃静寂,
苦しみが消えた心の平安(カナ),ニルヴァーナ,涅槃
自己一身の解脱(自利)を重視した仏教,上座部仏教,
インドからスリランカ東南アジアに広まったため、上座部仏教はーとも呼ばれる,南伝仏教,
上座部仏教が理想とした人物,阿羅漢,
五戒のひとつ、生き物を殺さない,不殺生戒,
五戒の一つ、他の人のものを取らない,不偸盗戒,
五戒の一つ、嘘をつかない,不妄語戒,
五戒の一つ、邪な性的関係を持たない,不邪淫戒,
五戒の一つ、酒を飲まない,不飲酒戒,
自己の悟りと慈悲の利他行を重視した仏教,大乗仏教,
大乗仏教はインドから中央アジア→日本へと伝わったためーとも呼ばれる,北伝仏教,
大乗仏教が理想とした人物,菩薩,
一切の衆生は仏性を備えている,一切衆生悉有仏性,あらゆるものには本来的に仏たるべき本性がある
菩薩の修行。完全な恵みを施すこと。,六波羅蜜,
六波羅蜜の一つ、施しをする,布施,
六波羅蜜の一つ、戒律を守る,持戒,
六波羅蜜の一つ、恥辱・迫害に耐える,忍辱,
六波羅蜜の一つ、修行に励む,精進,
六波羅蜜の一つ、精神統一すること,禅定,
六波羅蜜の一つ、真実を極める,智慧,
「般若経」をめぐって、空の思想をさらに深めた人物,竜樹,
竜樹(カナ),ナーガルジュナ,
竜樹が形成した派閥,中観派,
全て物事が実態を欠き、公有で不変の性質を持たないという考え,無自生,
世界のありのままを見ること,観法,
竜樹の著書,中論,
唯識思想を築いた人物、無著,アサンガ,
唯識思想を築いた人物、世親,ヴァスバンドゥ,
私たちの心が作り出した表像,識,
精神統一,ヨーガ,
春秋戦国時代の国の政治のあり方を説く思想家たちやその集団,諸子百家,
儒家、人倫の道・徳治主義,孔子,
儒家、王道政治・性善説,孟子,
儒家、礼治主義・性悪説,荀子,
道家、無為自然の道,老子,
道家、万物正道論,荘子,道家の思想は老荘とも呼ばれる
法家、信賞必罰・法治主義,韓非子,商鞅
墨家、憲愛交利,墨子,
兵家、戦略戦術論,孫子,
人を愛する心,仁,己の欲せざるところ人に施すことなかれ←→黄金律
両親や祖先への敬愛,孝,
兄や年長者への従順,悌,
他者に対してわがままを抑えること,克己,
他者に対して自分を偽らない真心,忠,
他人への思いやり,恕,
他人を欺かないこと,信,
仁が外面に現れた社会(社会規範),礼,
己に克ちて礼に復る,克己復礼,
為政者自ら模範となり、人々を感化させることで人々を修めること,修己治人,
修己治人によって統治できるという考え,徳治主義,
