うわさ,rumor
棚,cabinet
妊娠して,pregnant
装置,apparatus
年金,pension
降伏,surrender
ひも,lace
喜劇,comedy
磁石の,magnetic
許す,forgive
かかと,heel
切れ端,chip
ふた,lid
ひたい,forehead
黒字,surplus
借り切る,charter
政権,regime
法律,legislation
流動体,fluid
見事な,superb
章,chapter
漏れ,leak
有効な,valid
報酬,fee
ぽきんと折る,snap
取り消す,cancel
錠剤,pill
トレー,tray
軽べつ,contempt
決意,resolution
破産した,bankrupt
動詞,verb
詩歌,verse
要素,ingredient
険しい,steep
土台を壊す,undermine
公表する,disclose
本心からの,sincere
湿っている,damp
交渉する,negotiate
有罪の判決を下す,convict
悪化する,worsen
刑務所,jail
彫る,carve
挿入する,insert
記念日,anniversary
値引きする,discount
缶詰,tin
釘,nail
切り刻む,chop
袖,sleeve
胸,breast
製粉所,mill
歯車,gear
光線,beam
革,leather
予備の,preliminary
編む,knit
溶ける,dissolve
侵害する,violate
石油,petrol
感染,infection
親指,thumb
貨物,freight
監督する,supervise
締める,fasten
腐る,rot
巻きつける,curl
邪悪な,wicked
竿,rod
ふくらむ,swell
義務的な,compulsory
静脈,vein
誓約,pledge
刃,blade
指名する,nominate
暴行,assault
大混乱,chaos
電池,battery
大使,ambassador
ひいて粉にする,grind
首脳会談,summit
認める,concede
いやな,nasty
証明書,certificate
自慢する,boast
小売り,retail
上限,ceiling
代表,delegate
検査する,inspect
えり,collar
ちょっと浸す,dip
起訴する,prosecute
汚職,corruption
資産,asset
誓う,swear
暴動,riot
命ずる,bid
湿った,moist
海軍,navy
