跡,trail
施行する,enforce
貫く,pierce
押しつぶす,crush
悪名高い,notorious
粒子,particle
変装させる,disguise
群れ,herd
継ぎはぎ,patch
利己的な,selfish
獣,beast
小屋,lodge
材木,timber
地質学の,geological
娯楽,recreation
引きずる,drag
職員,personnel
作曲家,composer
中立の,neutral
豪華な,gorgeous
台本,script
逸話,anecdote
皮肉,irony
温度計,thermometer
下書きを書く,draft
死ぬ,perish
入力,input
濡らす,soak
がけ,cliff
裸の,naked
燃えるように輝く,glow
香り,scent
救急車,ambulance
陰謀,intrigue
かき回す,stir
詐欺,fraud
反抗する,rebel
宿屋,inn
会議,session
粘土,clay
霧,mist
織る,weave
病原菌,germ
ごみ,rubbish
同盟を結ぶ,ally
複雑な,intricate
振りかける,spray
防衛手段,hedge
育成する,nourish
具体化する,embody
最大の,utmost
比較的,comparatively
しみ,stain
保護者,guardian
這う,crawl
取り組む,tackle
まじめな,earnest
押す,thrust
慈善行為,charity
悲しみ,sorrow
栄光,glory
噴火口,crater
剣,sword
不幸,misfortune
容積,bulk
かぐ,sniff
著しく,markedly
視力,eyesight
良心,conscience
揺れる,sway
商品,merchandise
花,blossom
生き返らせる,revive
蒸発,evaporation
退く,withdraw
小包,parcel
告白する,confess
奮闘する,strive
憂鬱,melancholy
器具,appliance
取り戻す,regain
手足,limb
手の平,palm
お世辞,compliment
刺す,sting
男らしい,masculine
鋭い,acute
もっともらしい,plausible
盾,shield
栄養,nutrition
修正する,revise
海洋の,marine
未亡人,widow
抑える,restrain
忠実な,loyal
手ざわり,texture
辞職する,resign
連邦の,federal
打ち壊す,smash
横顔,profile
