変わりやすい,variable
運命,fate
娯楽,amusement
開拓者,pioneer
長さ,span
はしご,ladder
探検,expedition
妄想,obsession
生来の,inherent
循環,circulation
うたたね,nap
収穫,harvest
彫刻,sculpture
追いかける,chase
統一する,unify
強化する,reinforce
泥,mud
つかむ,grip
野蛮な,savage
運河,canal
鉱物,mineral
親密な,intimate
最高の,supreme
一部,fraction
厳しい,rigid
いじめる,bully
難民,refugee
弦,string
炎,flame
更新する,renew
査定する,assess
あくびする,yawn
航空機,aircraft
固執する,persist
地所,estate
おびえさせる,scare
目立つ,outstanding
賞を与える,award
段階,phase
薄れる,fade
見たところ,seemingly
侵入,invasion
我慢する,tolerate
依頼人,client
特権,privilege
肥沃さ,fertility
鋭い,keen
伝達する,transmit
特許,patent
衣装,costume
冷蔵庫,refrigerator
ぼやけた,fuzzy
浅い,shallow
正当な,legitimate
ささいな,trivial
技術,craft
いらいらした,impatient
貯蔵,storage
地理的な,geographical
範囲,sphere
目新しさ,novelty
差別,discrimination
侮辱する,insult
吸う,suck
再開する,resume
省略する,omit
食料雑貨店,grocery
成熟した,mature
預金する,deposit
泡,bubble
範囲,scope
霜,frost
サンゴ,coral
傷つきやすい,vulnerable
田舎家,cottage
沸騰する,boil
ゴム,rubber
柔軟な,flexible
米国議会,congress
掃く,sweep
操作する,manipulate
喚起する,arouse
ばかげた,ridiculous
遺産,heritage
異国の,exotic
考える、思いつく,conceive
餓死する,starve
怒って,mad
北極の,Arctic
～にする,render
啓蒙する,enlighten
積み重ね,pile
欄,column
驚かせる,startle
主、封建主、神,lord
志願者,applicant
脈,pulse
半球,hemisphere
新参者,newcomer
負担,burden
