使命,mission
会社の,corporate
見本,specimen
保険,insurance
目覚めさせる,awaken
軌道,orbit
同一の,identical
隠喩,metaphor
化合物,compound
洗練する,refine
主導権,initiative
乱用,abuse
高潔な,noble
全体の,gross
ねじる,twist
最低限の,minimal
危険にさらす,endanger
よじ登る,scramble
予算,budget
登録する,register
練り上げる,formulate
繁栄する,thrive
悩ます,distress
神聖な,sacred
教義,doctrine
不祥事,scandal
花嫁,bride
人種差別,racism
折りたたむ,fold
ぞくぞくさせる,thrill
直径,diameter
回転する,rotate
月の,lunar
レンガ,brick
たぶん,presumably
道具,implement
ワクチン,vaccine
女性らしい,feminine
外科手術,surgery
償う,compensate
歳入,revenue
同様に,likewise
毛布,blanket
優位を占める,predominant
かすかな,faint
社会学,sociology
東洋,Orient
通勤する,commute
憤慨する,resent
ひざ,knee
確信させる,assure
肖像画,portrait
かもめ,gull
経験する,undergo
みじめな,miserable
小屋,cabin
再生する,reproduce
霊感,inspiration
小麦,wheat
政府,administration
英国議会,parliament
図表,diagram
くい,stake
粗末な,humble
音節,syllable
一致する,conform
部門,sector
湾,bay
祈る,pray
下りる,descend
絞る,squeeze
だます,cheat
統治する,reign
ありふれた,commonplace
共和国,republic
はげた,bald
苦しめる,plague
怒鳴る,yell
赤字,deficit
孤独,solitude
大惨事,catastrophe
控える,refrain
タカ,hawk
一時停止する,suspend
集会,assembly
見解,outlook
しわ,wrinkle
そらす,distract
堅い,stiff
詰め込む,cram
観光,sightseeing
強盗,burglar
不況,recession
憂鬱な,gloomy
越える,surpass
宿泊設備,accommodation
乱雑,mess
疲れた,weary
銅,copper
流す,shed
